Name,TotalOrders,TotalSales
"Hawally ",1,41.5000
"Farwaniya ",15,289.7500
"Jahra Area ",12,145.4500
"Dasma ",7,154.5500
"Salmiya ",13,293.1500
"Mangaf ",2,28.1000
Shamiya,2,23.9000
"Sharq ",51,982.3500
